,NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
0,Precious Achiuwa,Tor,F,22.53,67,23.7,49.3,18.3,11.1,115,0.591,420,0.464,133,0.361,0.483,0.499,9.0,6.8,15.5,1.1,7.0,0.51,0.57,1.12,6.9,105.6,103.5
1,Steven Adams,Mem,C,28.7,73,26.4,54.9,12.1,19.1,193,0.554,375,0.549,1,0.0,0.548,0.563,7.1,10.0,19.7,3.3,15.6,0.88,0.79,1.49,9.3,125.2,103.8
2,Bam Adebayo,Mia,C-F,24.7,52,32.7,68.1,25.1,14.6,310,0.755,678,0.558,6,0.0,0.553,0.603,19.0,10.3,17.7,3.4,17.8,1.48,0.83,2.69,10.7,116.3,97.4
3,Santi Aldama,Mem,F-C,21.22,29,10.3,21.4,16.6,9.1,20,0.6,60,0.567,41,0.098,0.396,0.419,3.2,2.3,11.7,0.5,6.5,0.07,0.31,0.38,6.0,96.6,104.6
4,LaMarcus Aldridge,Bro,C-F,36.7,45,22.8,47.6,22.7,7.8,102,0.873,410,0.58,45,0.311,0.569,0.607,13.5,5.6,13.4,0.9,6.4,0.31,1.02,0.93,7.2,120.2,109.0
5,Nickeil Alexander-Walker,Nor,G,23.58,50,26.3,54.9,24.8,11.2,97,0.722,327,0.434,305,0.311,0.45,0.474,12.8,3.3,6.9,2.8,16.2,0.82,0.38,1.7,7.5,96.9,109.7
6,Nickeil Alexander-Walker,Uta,G,23.58,13,9.9,20.7,18.2,14.9,11,0.909,14,0.357,27,0.259,0.378,0.447,3.2,1.5,8.5,1.0,13.4,0.31,0.31,0.62,6.8,93.6,103.0
7,Grayson Allen,Mil,G,26.48,64,27.5,57.2,15.3,6.7,70,0.857,175,0.526,382,0.408,0.585,0.606,11.1,3.4,6.5,1.5,7.6,0.7,0.25,0.66,5.6,121.0,109.9
8,Jarrett Allen,Cle,C,23.95,56,32.3,67.3,18.1,12.7,233,0.708,535,0.688,10,0.1,0.678,0.698,16.1,10.7,18.3,1.6,8.2,0.77,1.34,1.68,8.1,132.7,104.2
9,Jose Alvarado,Nor,G,23.97,48,15.3,32.0,18.4,11.1,44,0.727,161,0.522,99,0.313,0.502,0.524,6.1,1.9,6.7,2.7,26.3,1.31,0.15,0.73,8.2,114.0,103.2
10,Justin Anderson,Cle,F-G,28.37,3,15.5,32.4,11.1,17.0,4,0.75,2,1.0,6,0.333,0.625,0.666,4.3,2.0,7.1,2.0,17.5,0.33,0.0,0.67,6.7,126.3,103.8
11,Justin Anderson,Ind,F-G,28.37,10,23.3,48.6,16.0,6.9,14,0.786,30,0.6,45,0.267,0.48,0.511,8.3,3.8,9.0,2.4,14.3,0.7,0.3,0.6,7.3,112.0,111.8
12,Kyle Anderson,Mem,F-G,28.53,64,21.4,44.6,16.1,11.5,97,0.629,334,0.473,100,0.32,0.475,0.496,7.4,5.3,12.9,2.6,15.8,1.13,0.64,0.97,8.7,108.8,103.1
13,Giannis Antetokounmpo,Mil,F,27.32,63,32.9,68.6,35.1,12.3,730,0.723,943,0.616,230,0.3,0.584,0.635,30.1,11.7,18.7,5.8,32.2,1.05,1.43,3.32,15.4,124.1,99.6
14,Thanasis Antetokounmpo,Mil,F,29.7,44,9.0,18.8,14.5,14.8,34,0.618,89,0.562,11,0.091,0.515,0.539,2.8,2.1,12.5,0.4,6.5,0.32,0.2,0.45,5.9,112.0,97.3
15,Carmelo Anthony,Lal,F,37.84,67,26.0,54.2,20.3,7.1,157,0.828,311,0.521,384,0.38,0.548,0.584,13.3,4.2,8.6,1.0,5.4,0.67,0.76,0.87,5.9,114.8,108.1
16,Cole Anthony,Orl,G,21.88,63,32.2,67.1,25.1,14.1,252,0.853,514,0.434,387,0.339,0.466,0.521,16.7,5.5,9.0,5.8,29.2,0.73,0.27,2.63,10.1,103.6,107.3
17,OG Anunoby,Tor,F,24.71,46,36.3,75.5,20.7,9.4,111,0.748,373,0.507,307,0.368,0.527,0.549,17.4,5.4,8.1,2.6,10.9,1.48,0.54,1.65,6.9,112.3,106.7
18,Ryan Arcidiacono,Nyk,G,28.02,6,2.8,5.9,7.7,0.0,0,0.0,1,0.0,2,1.0,1.0,1.0,1.0,0.2,3.1,0.0,0.0,0.0,0.0,0.0,0.0,,
19,Trevor Ariza,Lal,F,36.75,24,19.3,40.1,11.0,9.3,18,0.556,25,0.52,74,0.27,0.434,0.449,4.0,3.4,9.5,1.1,7.5,0.5,0.25,0.46,5.1,97.4,112.6
20,D.J. Augustin,Hou,G,34.39,34,15.0,31.2,16.5,22.8,38,0.868,40,0.4,96,0.406,0.548,0.596,5.4,1.2,4.4,2.2,20.6,0.29,0.0,1.32,6.5,106.9,119.2
21,D.J. Augustin,Lal,G,34.39,15,17.4,36.2,11.5,10.1,1,1.0,13,0.692,49,0.531,0.774,0.777,6.5,1.5,4.5,1.5,12.3,0.33,0.0,0.47,5.6,142.9,115.6
22,Deni Avdija,Was,F,21.24,76,23.8,49.6,15.8,11.3,131,0.763,285,0.519,228,0.316,0.499,0.536,8.1,5.2,12.1,1.9,11.1,0.74,0.54,0.96,7.2,107.2,105.0
23,Joel Ayayi,Was,G,22.07,7,2.9,6.0,13.2,0.0,0,0.0,5,0.2,1,0.0,0.167,0.167,0.3,0.4,8.2,0.6,25.3,0.0,0.0,0.0,5.7,,
24,Deandre Ayton,Pho,C,23.69,55,29.6,61.6,21.4,10.8,137,0.752,640,0.645,17,0.353,0.642,0.66,17.2,10.1,18.5,1.4,7.3,0.71,0.67,1.58,8.4,125.0,99.7
25,Udoka Azubuike,Uta,C-F,22.54,17,11.5,23.9,14.8,18.2,11,0.545,49,0.755,0,0.0,0.755,0.743,4.7,4.2,20.0,0.0,0.0,0.06,0.65,0.71,0.0,125.0,98.1
26,Marvin Bagley III,Sac,F,23.05,30,21.9,45.6,18.8,7.3,47,0.745,184,0.538,62,0.242,0.494,0.521,9.3,7.2,17.7,0.6,3.9,0.3,0.37,0.7,6.3,111.0,109.1
27,Marvin Bagley III,Det,F,23.05,18,27.2,56.7,21.2,7.4,54,0.593,165,0.624,35,0.229,0.575,0.585,14.6,6.8,13.6,1.1,6.9,0.72,0.39,1.0,7.0,115.7,107.4
28,LaMelo Ball,Cha,G,20.61,70,32.4,67.5,28.1,14.6,236,0.869,652,0.463,524,0.378,0.509,0.548,20.0,6.7,10.9,7.5,35.3,1.57,0.43,3.13,12.4,111.2,104.9
29,Lonzo Ball,Chi,G,24.43,35,34.6,72.2,17.4,17.2,28,0.75,123,0.423,260,0.423,0.567,0.575,13.0,5.4,8.8,5.1,20.0,1.83,0.89,2.34,8.2,109.8,107.5
30,Mo Bamba,Orl,C,23.89,66,25.8,53.7,17.0,11.2,64,0.797,317,0.558,250,0.372,0.558,0.575,10.4,8.0,16.3,1.1,6.8,0.58,1.64,1.14,7.0,112.3,103.0
31,Desmond Bane,Mem,G,23.77,73,30.0,62.4,23.1,8.6,147,0.898,553,0.488,509,0.43,0.564,0.59,18.2,4.4,7.7,2.8,13.7,1.15,0.4,1.45,8.1,118.5,104.6
32,Dalano Banton,Tor,F,22.4,63,11.0,22.9,16.9,19.4,42,0.595,151,0.464,51,0.255,0.443,0.463,3.2,2.0,9.6,1.6,19.7,0.41,0.16,0.84,7.9,97.9,104.1
33,Cat Barber,Atl,G,20.0,3,4.3,8.9,23.1,14.8,4,0.0,4,0.0,0,0.0,0.0,0.0,0.0,1.0,12.9,1.0,27.2,0.0,0.0,0.33,0.0,37.8,110.9
34,Harrison Barnes,Sac,F,29.84,72,34.0,70.8,18.9,10.8,402,0.828,447,0.519,338,0.402,0.555,0.626,16.7,5.7,9.0,2.5,10.6,0.72,0.19,1.61,7.3,122.0,115.4
35,Scottie Barnes,Tor,F,20.67,68,35.5,74.0,19.1,12.1,198,0.727,689,0.54,171,0.298,0.522,0.55,15.3,7.5,11.5,3.5,14.8,1.12,0.81,1.91,8.3,114.6,106.7
36,RJ Barrett,Nyk,F-G,21.8,66,34.7,72.3,27.3,9.9,378,0.72,738,0.446,381,0.346,0.471,0.516,20.1,5.9,9.0,2.9,14.4,0.62,0.24,2.15,8.1,104.2,108.5
37,Will Barton,Den,G,31.23,67,31.9,66.5,21.0,11.8,118,0.797,446,0.511,403,0.36,0.525,0.547,14.7,4.9,8.5,3.9,17.8,0.79,0.46,1.81,8.2,107.3,110.4
38,Charles Bassey,Phi,C-F,21.42,23,7.3,15.2,16.2,13.3,12,0.75,43,0.698,4,0.0,0.638,0.66,3.0,2.7,20.5,0.3,6.6,0.22,0.74,0.35,7.4,131.2,90.1
39,Paris Bass,Pho,F,26.59,2,3.7,7.7,51.8,22.5,2,1.0,4,0.5,2,0.0,0.333,0.436,3.0,2.0,29.1,0.0,0.0,0.5,0.0,1.0,0.0,,
40,Keita Bates-Diop,San,F,26.19,53,15.9,33.1,14.1,12.8,54,0.741,173,0.549,49,0.347,0.543,0.572,5.3,3.8,12.7,0.7,5.6,0.47,0.26,0.68,6.1,111.7,108.5
41,Nicolas Batum,Lac,G-F,33.29,56,24.9,51.8,13.6,8.9,36,0.667,113,0.611,262,0.397,0.6,0.606,8.5,4.3,9.2,1.6,9.3,0.98,0.75,0.68,6.2,117.6,107.4
42,Kent Bazemore,Lal,G-F,32.75,38,14.0,29.1,13.4,12.7,17,0.765,58,0.276,79,0.367,0.434,0.457,3.5,1.8,6.7,0.9,8.3,0.66,0.21,0.55,5.1,94.0,103.6
43,Darius Bazley,Okc,F-G,21.8,69,27.9,58.1,18.3,11.1,170,0.688,380,0.511,269,0.297,0.484,0.515,10.8,6.3,11.6,1.4,7.8,0.84,1.01,1.3,6.5,101.0,110.8
44,Bradley Beal,Was,G,28.76,40,36.0,74.9,30.8,13.6,203,0.833,561,0.508,210,0.3,0.492,0.539,23.2,4.7,7.2,6.6,31.1,0.9,0.38,3.38,10.0,105.7,111.4
45,Malik Beasley,Min,G,25.34,74,25.0,52.1,19.6,5.0,54,0.796,206,0.432,595,0.376,0.531,0.541,12.1,2.9,6.2,1.5,8.5,0.5,0.15,0.58,6.0,110.3,113.1
46,Jordan Bell,Chi,F,27.23,1,2.0,4.2,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,1.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,,
47,DeAndre' Bembry,Bro,G-F,27.74,48,19.8,41.2,11.7,11.6,35,0.6,177,0.599,36,0.417,0.603,0.609,5.8,3.2,8.7,1.3,8.5,0.98,0.52,0.63,5.8,120.0,104.5
48,DeAndre' Bembry,Mil,G-F,27.74,8,9.6,20.1,5.0,11.1,0,0.0,8,0.375,0,0.0,0.375,0.375,0.8,1.4,7.5,0.8,9.5,0.25,0.0,0.13,4.0,116.5,103.4
49,Davis Bertans,Was,F,29.38,34,14.7,30.7,17.6,7.1,30,0.933,27,0.519,144,0.319,0.485,0.527,5.7,1.8,6.7,0.5,4.5,0.32,0.18,0.41,4.7,103.4,106.5
50,Davis Bertans,Dal,F,29.38,17,13.6,28.3,17.8,4.4,10,0.8,15,0.467,68,0.324,0.482,0.503,5.2,2.3,9.3,0.4,4.4,0.24,0.24,0.24,5.0,103.2,101.1
51,Patrick Beverley,Min,G,33.72,55,25.6,53.3,16.1,13.1,121,0.719,182,0.489,235,0.349,0.508,0.543,9.3,4.1,8.6,4.6,24.3,1.09,0.91,1.29,8.7,118.6,103.3
52,Saddiq Bey,Det,F,22.98,77,33.7,70.2,21.1,7.4,241,0.822,497,0.457,581,0.346,0.49,0.53,16.3,5.6,9.0,2.9,13.7,0.91,0.21,1.22,7.6,110.8,113.4
53,Khem Birch,Tor,C,29.51,49,18.2,37.9,11.3,10.2,70,0.743,169,0.521,12,0.0,0.486,0.538,4.7,4.4,13.0,1.1,7.9,0.55,0.47,0.49,6.2,125.9,103.8
54,Goga Bitadze,Ind,C-F,22.7,48,14.3,29.9,20.3,13.2,90,0.667,166,0.614,77,0.286,0.556,0.584,6.9,3.6,13.9,1.1,11.0,0.44,0.81,0.9,8.4,117.2,103.0
55,Bismack Biyombo,Pho,C,29.59,32,13.2,27.5,17.9,13.7,62,0.5,124,0.581,0,0.0,0.581,0.578,5.5,4.3,17.7,0.6,5.8,0.34,0.69,0.75,7.3,117.3,94.1
56,Nemanja Bjelica,Gol,F,33.89,66,15.8,33.0,17.8,18.8,74,0.703,177,0.537,137,0.35,0.532,0.557,5.8,4.0,13.7,2.1,19.1,0.58,0.36,1.21,9.2,108.2,96.9
57,Eric Bledsoe,Lac,G,32.31,54,25.2,52.5,20.6,18.3,117,0.761,305,0.479,163,0.313,0.475,0.514,9.9,3.4,7.0,4.2,24.4,1.28,0.35,2.15,8.3,100.3,107.4
58,Keljin Blevins,Por,G,26.35,25,10.0,20.9,16.4,13.6,8,0.5,30,0.333,49,0.327,0.43,0.436,2.9,1.4,7.4,0.7,9.6,0.24,0.04,0.52,5.7,92.3,113.3
59,Bojan Bogdanovic,Uta,F,32.95,65,30.8,64.2,23.7,10.1,235,0.864,432,0.525,440,0.389,0.554,0.6,18.0,4.3,7.6,1.8,8.9,0.42,0.02,1.68,6.7,116.7,110.5
60,Bogdan Bogdanovic,Atl,G,29.62,58,29.3,61.1,21.5,8.1,104,0.856,308,0.526,415,0.364,0.537,0.563,14.9,3.9,7.3,3.0,15.3,1.07,0.22,1.17,7.6,113.7,110.4
61,Bol Bol,Den,C-F,22.37,13,6.2,12.9,17.6,12.4,3,0.667,23,0.609,4,0.25,0.574,0.583,2.5,1.5,13.8,0.4,9.2,0.08,0.15,0.31,7.4,110.2,109.4
62,Leandro Bolmaro,Min,F,21.55,34,6.6,13.7,11.8,20.7,11,0.818,28,0.321,17,0.235,0.333,0.391,1.1,1.2,9.5,0.5,9.5,0.18,0.0,0.38,5.3,90.0,105.0
63,Isaac Bonga,Tor,G,22.4,15,4.6,9.5,11.5,10.8,8,0.625,9,0.222,4,0.25,0.269,0.363,0.8,0.5,5.5,0.3,7.3,0.53,0.13,0.13,4.3,92.5,96.2
64,Devin Booker,Pho,G,25.42,65,34.5,71.8,32.0,9.5,351,0.866,887,0.505,458,0.376,0.525,0.572,26.4,5.0,7.9,4.9,22.5,1.17,0.4,2.42,10.0,112.9,103.6
65,Brandon Boston Jr.,Lac,G,20.34,50,14.4,30.1,22.6,8.1,68,0.838,201,0.413,109,0.312,0.432,0.478,6.5,2.1,7.6,0.9,9.7,0.5,0.24,0.6,6.4,97.2,108.5
66,Chris Boucher,Tor,F-C,29.22,74,21.0,43.8,17.9,6.3,176,0.773,324,0.58,206,0.286,0.522,0.567,9.3,6.2,16.0,0.3,1.9,0.62,0.92,0.55,4.9,122.7,101.5
67,James Bouknight,Cha,G,21.53,28,10.6,22.0,23.3,8.0,31,0.871,87,0.356,49,0.347,0.415,0.468,5.0,1.7,8.5,0.8,10.9,0.25,0.04,0.46,7.1,102.2,109.1
68,Avery Bradley,Lal,G,31.35,59,22.5,46.9,12.4,9.7,18,0.889,134,0.455,202,0.381,0.525,0.536,6.3,2.3,5.4,0.8,4.5,0.85,0.15,0.63,4.0,104.5,109.7
69,Tony Bradley,Chi,C-F,24.23,51,10.3,21.4,12.8,19.7,25,0.68,111,0.577,0,0.0,0.577,0.594,2.8,3.4,18.7,0.5,6.7,0.22,0.63,0.59,6.5,118.1,102.6
70,Ignas Brazdeikis,Orl,F,23.23,37,10.4,21.7,16.7,8.1,19,0.737,70,0.514,58,0.293,0.48,0.502,3.7,1.4,6.9,0.7,10.7,0.22,0.05,0.32,5.9,104.2,107.5
71,Miles Bridges,Cha,F,24.03,75,35.9,74.8,22.6,10.1,311,0.801,708,0.59,440,0.33,0.554,0.592,20.3,7.1,10.4,3.8,15.9,0.96,0.87,1.93,9.1,116.4,109.5
72,Mikal Bridges,Pho,F,25.58,76,35.6,74.1,14.9,6.7,146,0.829,507,0.623,296,0.378,0.603,0.628,14.3,4.4,6.6,2.3,8.7,1.18,0.46,0.82,5.9,126.0,107.0
73,Oshae Brissett,Ind,F-G,23.78,62,22.6,47.1,16.8,8.4,141,0.688,238,0.475,203,0.33,0.484,0.521,8.5,5.2,12.7,0.9,5.7,0.61,0.47,0.74,6.0,110.9,111.1
74,Malcolm Brogdon,Ind,G,29.3,36,33.5,69.8,24.6,11.1,167,0.856,357,0.518,186,0.312,0.501,0.557,19.1,5.1,8.5,5.9,27.1,0.86,0.39,2.14,9.9,115.7,113.7
75,Armoni Brooks,Hou,G,23.82,41,16.8,35.1,17.4,8.1,19,0.842,38,0.605,213,0.3,0.474,0.49,6.2,2.0,6.4,1.2,10.3,0.51,0.2,0.56,5.9,100.4,111.9
76,Armoni Brooks,Tor,G,23.82,10,11.6,24.2,12.2,9.1,0,0.0,2,0.5,28,0.321,0.483,0.483,2.9,1.6,7.4,1.0,11.4,0.6,0.3,0.3,5.8,113.8,106.9
77,Dillon Brooks,Mem,G-F,26.19,29,27.6,57.5,28.5,8.3,97,0.835,330,0.482,137,0.307,0.475,0.515,18.1,3.2,6.1,2.6,14.2,1.21,0.24,1.59,7.7,107.0,101.3
78,Chaundee Brown Jr.,Lal,G,23.32,2,10.3,21.5,16.7,12.5,0,0.0,4,0.25,3,0.0,0.143,0.143,1.0,1.0,5.2,0.0,0.0,0.0,0.0,0.5,0.0,27.4,120.6
79,Charlie Brown Jr.,Dal,G,24.16,3,5.1,10.7,14.6,0.0,0,0.0,2,0.5,3,0.0,0.2,0.2,0.7,0.3,3.6,0.3,8.7,0.67,0.33,0.0,3.1,55.7,93.2
80,Chaundee Brown Jr.,Atl,G,23.32,3,27.7,57.7,14.5,0.0,6,0.833,10,0.3,15,0.4,0.48,0.525,9.7,4.7,9.2,1.3,6.4,0.67,0.0,0.0,5.6,117.6,108.7
81,Charlie Brown Jr.,Phi,G,24.16,19,8.5,17.8,12.0,11.5,10,0.9,25,0.32,9,0.111,0.279,0.365,1.5,1.6,10.6,0.3,4.1,0.42,0.16,0.26,4.2,93.1,103.2
82,Greg Brown III,Por,F,20.58,42,11.8,24.5,17.3,12.1,55,0.636,108,0.491,42,0.238,0.453,0.491,4.1,2.6,12.0,0.6,7.7,0.48,0.48,0.57,6.3,102.5,103.2
83,Troy Brown Jr.,Chi,G-F,22.68,61,16.1,33.6,12.1,8.5,25,0.76,115,0.487,121,0.347,0.504,0.52,4.2,3.0,10.5,0.9,7.4,0.49,0.08,0.38,5.6,110.2,109.4
84,Bruce Brown,Bro,G-F,25.63,68,24.0,50.0,15.0,8.6,115,0.748,383,0.53,84,0.381,0.537,0.568,8.6,4.7,10.6,1.9,10.9,1.07,0.62,0.72,7.1,120.5,105.4
85,Jaylen Brown,Bos,G-F,25.43,61,33.8,70.4,30.4,11.6,295,0.759,690,0.539,435,0.354,0.536,0.57,23.4,6.1,9.8,3.3,16.9,0.98,0.26,2.7,9.2,108.1,102.4
86,Moses Brown,Dal,C,22.47,26,6.5,13.5,22.1,16.9,43,0.628,50,0.54,0,0.0,0.54,0.588,3.1,2.3,20.0,0.0,0.9,0.12,0.35,0.54,0.0,107.3,90.6
87,Moses Brown,Cle,C,22.47,9,9.5,19.7,18.9,5.5,17,0.529,27,0.667,0,0.0,0.667,0.653,5.0,3.9,22.7,0.0,0.0,0.33,0.67,0.22,0.0,132.7,92.1
88,Sterling Brown,Dal,G-F,27.14,48,12.8,26.6,13.1,12.9,15,0.933,60,0.483,89,0.303,0.466,0.492,3.2,3.0,13.1,0.7,7.7,0.27,0.15,0.48,5.9,101.8,101.6
89,Jalen Brunson,Dal,G,25.58,74,32.1,66.8,21.9,10.5,197,0.838,718,0.542,231,0.368,0.544,0.578,16.2,3.8,6.6,4.9,25.0,0.85,0.04,1.64,8.4,117.3,106.9
90,Thomas Bryant,Was,C-F,24.67,23,17.3,36.1,19.4,10.4,40,0.875,99,0.626,39,0.282,0.569,0.617,8.3,4.0,12.7,1.0,8.9,0.26,0.78,0.78,7.4,120.9,106.0
91,Shaq Buchanan,Mem,G,20.0,2,4.9,10.2,25.1,33.3,0,0.0,2,0.5,2,0.0,0.25,0.25,1.0,1.0,10.6,1.0,25.5,0.5,0.0,1.0,8.2,61.1,99.5
92,Reggie Bullock,Dal,G-F,31.04,63,27.7,57.6,13.5,6.9,44,0.818,101,0.554,365,0.359,0.542,0.557,8.6,3.5,7.0,1.2,6.2,0.63,0.21,0.57,4.8,111.5,107.4
93,Trey Burke,Dal,G,29.38,39,10.7,22.3,26.0,10.8,23,0.87,125,0.448,80,0.313,0.456,0.481,5.3,0.8,4.1,1.3,20.1,0.28,0.0,0.67,6.6,96.9,104.8
94,Alec Burks,Nyk,G,30.7,76,28.3,58.9,17.7,9.1,245,0.824,317,0.379,365,0.395,0.493,0.553,11.5,4.8,9.1,2.9,15.4,1.07,0.33,1.04,7.7,116.8,103.6
95,Jared Butler,Uta,G,21.6,39,7.8,16.3,24.0,18.5,12,0.583,56,0.518,75,0.347,0.519,0.525,3.7,0.9,6.5,1.3,24.7,0.33,0.18,0.79,8.4,100.8,99.1
96,Jimmy Butler,Mia,F,32.55,54,33.8,70.3,26.7,10.2,428,0.871,686,0.516,107,0.215,0.49,0.586,21.3,5.9,9.9,5.5,26.9,1.67,0.5,2.07,10.5,123.5,106.5
97,Devontae Cacok,San,F,25.48,11,8.4,17.5,14.2,6.4,7,0.571,26,0.692,0,0.0,0.692,0.688,3.6,3.3,20.4,0.5,7.7,0.64,0.64,0.18,8.6,138.0,94.6
98,Kentavious Caldwell-Pope,Was,G,29.12,73,30.3,63.1,18.7,9.6,149,0.886,389,0.465,385,0.39,0.525,0.562,12.9,3.4,6.2,1.9,9.3,1.1,0.34,1.22,5.8,108.8,111.9
99,Facundo Campazzo,Den,G,31.03,63,18.6,38.8,14.7,16.9,78,0.769,102,0.48,189,0.302,0.462,0.506,5.2,1.9,5.6,3.4,24.0,0.97,0.37,1.05,6.9,109.3,103.8
100,Vlatko Cancar,Den,F,24.98,14,10.9,22.7,15.1,15.3,12,0.75,27,0.556,12,0.583,0.654,0.678,4.3,1.6,8.4,0.9,11.9,0.14,0.21,0.57,6.7,124.0,107.7
101,Clint Capela,Atl,C,27.87,69,27.6,57.5,15.4,6.6,155,0.471,557,0.605,1,0.0,0.604,0.596,10.8,11.8,23.5,1.3,7.0,0.68,1.3,0.64,8.0,132.3,105.0
102,Vernon Carey Jr.,Cha,F-C,21.1,4,4.2,8.8,20.9,12.0,3,0.667,6,0.5,0,0.0,0.5,0.546,2.0,1.3,15.6,0.0,0.0,0.25,0.0,0.25,0.0,113.7,110.2
103,Vernon Carey Jr.,Was,F-C,21.1,1,1.4,2.9,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
104,Wendell Carter Jr.,Orl,C-F,22.96,62,29.9,62.2,20.8,13.1,207,0.691,470,0.615,214,0.327,0.576,0.601,15.0,10.4,18.5,2.8,15.4,0.58,0.69,1.89,10.2,115.4,103.0
105,Jevon Carter,Bro,G,26.55,46,12.0,25.0,16.0,12.7,10,0.7,47,0.34,127,0.331,0.454,0.462,3.6,1.5,6.6,1.0,10.9,0.3,0.22,0.57,5.8,93.9,109.6
106,Jevon Carter,Mil,G,26.55,15,17.4,36.3,10.6,9.3,8,1.0,21,0.476,34,0.588,0.727,0.752,5.9,2.1,6.5,2.2,16.9,0.33,0.2,0.4,6.9,151.1,109.9
107,Alex Caruso,Chi,G,28.09,39,28.3,58.9,13.4,16.7,73,0.795,128,0.469,120,0.35,0.496,0.543,7.8,3.6,7.2,3.9,17.9,1.79,0.38,1.44,6.8,111.5,105.3
108,Willie Cauley-Stein,Dal,C,28.62,18,9.8,20.5,10.9,16.3,2,0.5,33,0.455,2,0.5,0.471,0.474,1.9,2.1,11.9,0.5,7.0,0.33,0.17,0.39,5.1,102.9,101.2
109,Willie Cauley-Stein,Phi,C,28.62,2,2.9,5.9,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,1.0,19.5,0.5,21.7,0.0,0.0,0.0,0.0,,
110,Ahmad Caver,Ind,G,20.0,1,0.9,1.9,47.6,0.0,0,0.0,1,1.0,0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
111,Justin Champagnie,Tor,G-F,20.76,35,7.8,16.3,11.9,9.2,9,1.0,39,0.538,26,0.346,0.531,0.566,2.2,2.0,13.8,0.3,5.5,0.2,0.11,0.2,5.6,129.1,102.6
112,Zylan Cheatham,Uta,F,26.37,1,5.2,10.8,25.2,0.0,0,0.0,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.1
113,Chris Chiozza,Gol,G,26.36,34,10.9,22.8,13.4,28.0,3,0.667,28,0.25,53,0.321,0.401,0.407,2.0,1.1,5.2,1.9,22.6,0.38,0.0,0.94,5.9,88.4,104.1
114,Marquese Chriss,Dal,F,24.75,30,10.0,20.9,21.6,11.8,25,0.6,94,0.511,22,0.318,0.504,0.52,4.4,3.2,17.8,0.5,7.9,0.4,0.4,0.57,7.7,105.1,87.6
115,Josh Christopher,Hou,G,20.31,69,17.5,36.4,20.9,17.3,98,0.776,278,0.532,170,0.294,0.498,0.531,7.6,2.4,7.6,2.0,17.7,0.88,0.16,1.49,7.6,100.8,112.5
116,Brandon Clarke,Mem,F,25.53,60,19.4,40.5,17.7,6.6,126,0.659,392,0.666,22,0.227,0.649,0.66,10.3,5.5,14.7,1.3,10.2,0.55,1.13,0.55,8.6,137.3,102.2
117,Gary Clark,Nor,F,27.37,34,9.7,20.3,11.1,8.2,8,0.75,13,0.231,62,0.387,0.52,0.535,2.5,2.4,13.3,0.4,5.6,0.32,0.21,0.21,5.5,115.5,108.1
118,Jordan Clarkson,Uta,G,29.81,74,27.1,56.4,27.1,9.6,163,0.822,493,0.533,560,0.318,0.503,0.531,16.1,3.4,6.8,2.3,13.8,0.84,0.22,1.61,7.4,107.3,107.7
119,Nic Claxton,Bro,F-C,22.96,42,20.5,42.7,15.5,11.0,88,0.58,237,0.675,0,0.0,0.675,0.673,8.8,5.5,14.6,0.9,6.3,0.55,1.14,0.81,6.9,131.0,104.4
120,Amir Coffey,Lac,G-F,24.79,64,22.9,47.7,15.4,8.2,106,0.849,193,0.539,232,0.362,0.541,0.583,8.6,2.8,6.3,1.7,10.8,0.53,0.22,0.66,6.0,117.0,109.9
121,John Collins,Atl,F-C,24.52,54,30.8,64.1,20.5,7.7,169,0.793,468,0.588,176,0.364,0.576,0.61,16.2,7.8,13.9,1.8,9.0,0.61,1.04,1.11,7.9,122.8,106.2
122,Zach Collins,San,F-C,24.37,22,16.7,34.9,18.6,20.3,33,0.818,82,0.512,33,0.333,0.509,0.556,6.5,4.9,15.4,2.0,15.8,0.36,0.68,1.5,9.6,108.4,100.3
123,Darren Collison,Lal,G,34.61,3,12.4,25.8,9.3,12.5,0,0.0,4,0.5,3,0.0,0.286,0.286,1.3,1.3,5.7,0.7,6.7,0.33,0.0,0.33,3.4,64.8,104.0
124,Mike Conley,Uta,G,34.47,68,28.4,59.1,20.8,12.5,153,0.81,349,0.461,387,0.408,0.541,0.573,13.5,3.0,5.7,5.2,27.1,1.32,0.29,1.69,8.4,120.2,107.5
125,Pat Connaughton,Mil,G,29.23,60,26.4,55.0,13.9,6.2,51,0.824,117,0.658,345,0.4,0.615,0.63,10.2,4.3,8.6,1.2,6.4,0.88,0.23,0.53,5.7,125.9,108.9
126,Tyler Cook,Chi,F,24.52,19,10.3,21.5,12.7,12.4,31,0.645,36,0.611,0,0.0,0.611,0.645,3.4,2.7,14.9,0.2,2.0,0.21,0.21,0.37,4.8,128.0,101.2
