,NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
558,Domantas Sabonis,Ind,F-C,25.91,47,34.7,72.3,21.7,17.3,258,0.74,463,0.639,108,0.324,0.61,0.649,18.9,12.1,19.3,5.0,22.3,0.98,0.47,3.04,12.1,123.3,106.5
559,Domantas Sabonis,Sac,F-C,25.91,15,33.6,70.0,24.3,18.1,74,0.743,185,0.584,17,0.235,0.564,0.603,18.9,12.3,19.8,5.8,27.9,0.87,0.33,3.47,13.2,115.6,103.1
560,Olivier Sarr,Okc,C,23.11,19,17.4,36.2,13.3,17.7,22,0.773,54,0.648,20,0.35,0.615,0.645,5.7,3.7,10.9,0.8,6.8,0.32,0.47,0.95,5.9,118.1,101.2
561,Tomas Satoransky,Nor,G,30.42,32,15.0,31.3,12.6,16.3,25,0.76,76,0.355,31,0.161,0.322,0.373,2.8,2.0,7.3,2.4,20.7,0.44,0.03,0.72,6.3,95.1,109.7
562,Tomas Satoransky,San,G,30.42,1,9.2,19.2,8.1,0.0,4,0.75,0,0.0,0,0.0,,0.852,3.0,1.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,,119.5
563,Tomas Satoransky,Was,G,30.42,16,18.4,38.4,12.1,17.4,19,0.842,42,0.524,16,0.25,0.483,0.542,4.5,2.8,8.4,4.1,29.6,0.88,0.25,0.88,8.1,120.8,106.8
564,Jordan Schakel,Was,G,23.8,2,7.1,14.8,18.8,0.0,0,0.0,3,0.0,3,0.0,0.0,0.0,0.0,1.5,11.6,0.0,0.0,0.0,0.0,0.0,0.0,29.1,121.4
565,Admiral Schofield,Orl,F,25.01,35,11.6,24.3,14.3,14.1,13,0.769,44,0.591,66,0.318,0.523,0.54,3.6,2.1,9.5,0.7,8.7,0.11,0.14,0.54,6.0,102.2,102.8
566,Dennis Schroder,Bos,G,28.54,49,29.2,60.9,23.1,13.8,145,0.848,392,0.485,192,0.349,0.497,0.543,14.4,3.3,6.2,4.2,22.4,0.84,0.1,2.12,8.0,107.9,103.2
567,Dennis Schroder,Hou,G,28.54,15,27.0,56.2,20.6,19.9,39,0.872,82,0.439,58,0.328,0.461,0.519,10.9,3.3,6.8,5.9,32.1,0.87,0.2,2.6,8.8,104.0,110.8
